,"Alameda County,CA","Contra Costa County,CA","Kern County,CA","Los Angeles County,CA","Marin County,CA","Orange County,CA","Placer County,CA","Riverside County,CA","Sacramento County,CA","San Bernardino County,CA","San Diego County,CA","San Francisco County,CA","San Joaquin County,CA","San Mateo County,CA","Santa Clara County,CA","Ventura County,CA","Yolo County,CA","Bronx County,NY","Dutchess County,NY","Erie County,NY","Kings County,NY","Monroe County,NY","Nassau County,NY","New York County,NY","Orange County,NY","Queens County,NY","Richmond County,NY","Rockland County,NY","Westchester County,NY","Bexar County,TX","Brazoria County,TX","Collin County,TX","Comal County,TX","Dallas County,TX","Denton County,TX","El Paso County,TX","Ellis County,TX","Fort Bend County,TX","Galveston County,TX","Guadalupe County,TX","Harris County,TX","Hays County,TX","Johnson County,TX","Kaufman County,TX","Montgomery County,TX","Rockwall County,TX","Tarrant County,TX","Travis County,TX","Williamson County,TX"
2018-11-01,-4.2,-2.25,0.82,-1.38,-4.27,-2.79,-0.04,2.28,1.18,3.76,-1.1,-5.11,1.89,-6.25,-6.36,0.68,-0.95,6.01,-5.88,1.14,-0.58,2.04,-0.4,-4.64,2.19,-0.77,-3.32,-2.13,-3.43,3.41,1.27,-3.56,-2.19,4.9,-0.09,7.94,2.9,-0.29,2.15,3.93,5.84,-2.77,6.64,6.86,1.85,1.66,4.16,-3.61,-2.58
2018-12-01,-3.95,-2.05,1.05,-1.2,-4.05,-2.58,0.15,2.49,1.44,4.01,-0.87,-4.87,2.06,-5.93,-6.06,0.94,-0.69,6.05,-5.7,1.34,-0.42,2.15,-0.22,-4.44,-1.19,-0.85,-3.19,-1.97,-3.21,3.6,1.44,-3.36,-1.98,5.09,0.08,8.01,3.07,-0.1,2.33,4.12,5.99,-2.57,6.76,7.0,2.1,1.82,4.27,-3.4,-2.43
2019-01-01,-3.26,-1.55,1.61,-0.66,-3.42,-1.97,0.7,3.11,2.02,4.67,-0.25,-4.23,2.69,-5.17,-5.34,1.59,0.01,6.44,-5.19,1.89,0.11,2.59,0.33,-3.8,2.86,-0.29,-2.65,-1.44,-2.54,4.0,1.91,-2.82,-1.45,5.57,0.6,8.49,3.61,0.47,2.81,4.65,6.46,-2.06,7.15,7.5,2.71,2.28,4.73,-2.87,-1.95
2019-02-01,-2.91,-1.28,1.83,-0.31,-3.16,-1.67,0.85,3.3,2.3,4.94,0.09,-3.97,3.0,-4.79,-4.92,1.9,0.42,6.54,-4.99,2.07,0.34,2.74,0.57,-3.53,3.04,-0.06,-2.42,-1.26,-2.23,4.13,2.1,-2.61,-1.2,5.58,0.79,8.72,3.82,0.69,2.9,4.83,6.59,-1.93,7.29,7.67,2.94,2.47,4.85,-2.69,-1.77
2019-03-01,-2.83,-1.23,1.83,-0.32,-3.13,-1.62,0.83,3.32,2.37,4.97,0.16,-3.97,3.13,-4.72,-4.75,2.02,0.6,6.35,-5.01,1.97,0.34,2.65,0.53,-3.43,2.97,-0.07,-2.41,-1.29,-2.09,4.02,2.09,-2.59,-1.18,5.44,0.83,8.69,3.86,0.69,2.73,4.81,6.54,-1.99,7.22,7.64,2.91,2.52,4.81,-2.77,-1.85
2019-04-01,-1.98,-0.29,2.57,0.53,-2.31,-0.8,1.64,4.06,3.18,5.75,0.97,-3.15,3.83,-3.84,-3.82,2.83,1.4,6.84,-4.25,2.5,1.12,3.27,1.28,-2.61,3.59,0.7,-1.58,-0.55,-1.25,4.71,2.82,-1.76,-0.45,6.04,1.65,9.24,4.6,1.42,3.29,5.46,7.21,-1.29,7.91,8.3,3.62,3.34,5.51,-2.0,-1.14
2019-05-01,-2.1,-0.4,2.5,0.44,-2.43,-0.93,1.52,3.99,3.03,5.64,0.79,-3.26,3.72,-3.97,-3.9,2.57,1.22,6.63,-4.35,2.28,1.01,3.08,1.08,-2.64,3.32,0.58,-1.66,-0.68,-1.4,4.56,2.71,-1.82,-0.61,5.85,1.6,9.01,4.53,1.33,3.03,5.3,7.13,-1.4,7.78,8.11,3.46,3.33,5.43,-2.11,-1.21
2019-06-01,-1.31,0.35,3.21,1.2,-1.62,-0.16,2.22,4.84,3.71,6.34,1.53,-2.5,4.42,-3.17,-3.08,3.35,1.92,7.34,-3.62,2.83,1.79,3.74,1.82,-1.79,3.98,1.35,-0.84,0.13,-0.68,5.23,3.43,-1.02,0.11,6.55,2.35,9.53,5.26,2.1,3.64,6.0,7.82,-0.66,8.52,8.78,4.13,4.09,6.13,-1.33,-0.41
2019-07-01,-1.14,0.53,3.35,1.35,-1.43,0.02,2.35,5.1,3.84,6.79,1.66,-2.34,4.59,-2.97,-2.82,3.57,2.15,7.54,-3.41,2.93,2.0,3.85,1.99,-1.51,4.08,1.57,-0.62,0.38,-0.52,5.37,3.59,-0.83,0.28,6.73,2.55,9.59,5.39,2.29,3.75,6.21,7.96,-0.44,8.72,8.96,4.23,4.29,6.34,-1.17,-0.22
2019-08-01,-1.11,0.57,3.36,1.41,-1.37,0.01,2.36,5.09,3.85,6.51,1.64,-2.36,4.62,-2.93,-2.74,3.64,2.23,7.53,-3.41,2.91,2.06,3.9,1.99,-1.46,4.15,1.62,-0.58,0.49,-0.5,5.38,3.59,-0.77,0.28,6.74,2.57,9.58,5.33,2.28,3.73,6.25,7.96,-0.43,8.74,9.02,4.2,4.34,6.31,-1.18,-0.25
2019-09-01,-0.43,1.24,3.95,2.09,-0.65,0.66,2.96,5.73,4.49,7.15,2.24,-1.69,5.22,-2.2,-2.01,4.27,2.88,8.11,-2.78,3.49,2.77,4.45,2.59,-0.71,4.78,2.28,0.13,1.14,0.13,5.95,4.23,-0.14,0.83,7.28,3.2,10.11,5.82,2.87,4.25,6.85,8.48,0.16,9.31,9.58,4.76,4.97,6.83,-0.58,0.33
2019-10-01,-0.77,0.94,3.64,1.77,-0.94,0.25,2.57,5.34,4.11,6.82,1.89,-2.06,4.92,-2.57,-2.38,3.93,2.59,7.75,-3.1,3.19,2.47,4.15,2.24,-0.96,4.46,1.95,-0.2,0.81,-0.22,5.6,3.94,-0.51,0.4,6.88,2.87,9.93,5.4,2.49,3.81,6.48,8.15,-0.24,8.9,9.18,4.41,4.65,6.48,-1.0,-0.06
2019-11-01,-0.82,0.79,3.58,1.66,-1.02,0.16,2.51,5.26,4.03,6.71,1.84,-2.24,4.88,-2.63,-2.47,3.83,2.65,7.63,-3.13,3.19,2.43,4.06,2.23,-0.95,4.42,1.85,-0.2,0.76,-0.29,5.56,3.89,-0.57,0.24,6.84,2.67,10.09,5.32,2.41,2.37,6.39,8.08,-0.36,8.9,9.15,4.32,4.56,6.39,-1.09,-0.02
2019-12-01,-0.77,0.81,3.61,1.6,-1.03,0.19,2.57,5.4,3.98,6.71,1.86,-2.31,4.93,-2.64,-2.48,3.84,2.83,7.67,-3.04,3.24,2.51,4.05,2.3,-0.92,4.49,2.09,-0.08,0.84,-0.22,5.61,3.88,-0.55,0.18,6.92,2.88,10.28,5.35,2.42,2.29,6.41,8.13,-0.39,8.92,9.18,4.38,4.64,6.43,-1.12,0.14
2020-01-01,-0.92,0.57,3.57,1.49,-1.18,0.1,2.43,5.26,3.85,6.59,1.73,-2.51,4.79,-2.75,-2.69,3.67,2.82,7.53,-3.06,3.13,2.46,3.93,2.38,-1.06,4.44,1.98,-0.05,0.82,-0.34,5.59,3.77,-0.61,0.06,6.92,2.83,10.2,5.29,2.37,2.16,6.34,8.02,-0.55,8.92,9.14,4.23,4.61,6.17,-1.26,0.13
2020-02-01,-0.43,1.2,4.21,1.99,-1.31,0.7,3.01,5.88,4.41,7.19,2.29,-1.93,5.42,-2.2,-2.13,4.27,3.35,8.08,-2.26,3.67,3.05,4.45,2.83,-0.55,5.07,2.38,0.68,1.53,0.2,6.18,4.35,-0.08,0.61,7.45,3.46,10.68,5.87,2.99,3.91,6.93,8.69,-0.03,9.49,9.73,4.79,5.26,6.75,-0.74,0.66
2020-03-01,-0.16,1.56,4.57,2.21,-0.26,0.99,3.31,6.28,4.75,7.5,2.58,-1.62,5.78,-1.9,-1.88,4.62,3.56,8.41,-1.72,4.0,3.38,4.71,3.04,-0.29,5.44,2.67,1.09,1.98,0.63,6.57,4.7,0.25,0.97,7.8,3.85,11.0,6.24,3.37,4.25,7.3,9.09,0.35,9.92,10.13,5.01,5.58,7.17,-0.42,1.03
2020-04-01,-0.33,1.41,4.39,1.89,-0.43,0.8,3.18,6.28,4.57,7.35,2.36,-1.77,5.68,-2.16,-2.13,4.52,3.36,8.47,-1.7,3.87,3.2,4.54,2.92,-0.45,1.89,2.51,1.02,1.92,0.42,6.48,4.6,0.12,0.83,7.58,3.73,10.93,6.1,3.29,4.16,7.2,8.91,0.26,9.87,10.19,4.91,5.4,7.05,-0.56,1.0
2020-05-01,-0.17,1.5,4.49,2.02,-0.33,0.92,3.33,6.47,4.72,7.49,2.46,-1.7,5.77,-2.03,-2.02,4.67,3.52,8.71,-1.4,3.97,3.24,4.6,3.26,-0.42,5.59,2.72,1.17,2.13,0.25,6.69,4.75,0.29,0.92,7.76,3.9,11.14,6.26,3.43,4.35,7.36,9.03,0.41,10.07,10.51,5.01,5.5,7.18,-0.39,1.25
2020-06-01,0.06,1.76,4.69,2.23,-0.09,1.15,3.62,6.66,4.95,7.8,2.65,-1.52,6.0,-1.77,-1.69,4.9,3.73,8.88,-1.05,4.22,3.28,4.7,3.4,-0.33,5.86,2.71,1.34,2.31,0.39,6.93,4.91,0.47,1.06,7.98,4.09,11.39,6.44,3.6,4.59,7.51,9.15,0.56,10.22,10.87,5.25,5.69,7.48,-0.25,1.45
2020-07-01,0.35,2.09,4.98,2.56,0.13,1.54,3.97,6.97,5.34,8.13,2.97,-1.27,6.39,-1.4,-1.27,5.21,4.0,10.21,-0.7,4.55,3.43,4.92,3.65,-0.18,6.19,2.89,1.55,2.57,0.64,7.25,5.17,0.65,1.27,8.23,4.36,11.67,6.74,3.85,4.84,7.74,9.38,0.81,10.49,11.22,5.51,6.04,7.79,-0.05,1.69
2020-08-01,0.7,2.55,5.41,3.01,0.52,1.99,4.52,7.49,5.82,8.58,3.4,-0.78,6.94,-0.97,-0.75,5.7,4.5,9.29,-0.07,5.01,3.76,5.23,4.07,0.23,6.59,3.24,1.98,3.06,1.03,7.62,5.61,1.11,1.7,8.64,4.86,12.06,7.26,4.32,5.29,8.18,9.66,1.25,10.95,11.73,5.98,6.56,8.21,0.31,2.05
2020-09-01,0.37,2.26,5.28,2.77,0.27,1.8,4.42,7.38,5.65,8.39,3.21,-0.98,6.81,-1.25,-1.01,5.56,4.43,9.17,-0.07,4.8,3.49,5.01,3.91,0.01,6.37,3.06,1.81,3.03,0.86,7.44,5.51,0.95,1.54,8.56,4.78,11.92,7.2,4.22,5.18,8.05,9.37,1.14,10.92,11.67,5.86,6.48,8.02,0.06,1.82
2020-10-01,0.3,2.21,5.34,2.73,0.29,1.83,4.52,7.43,5.65,8.44,3.21,-0.94,6.78,-1.22,-1.02,5.59,4.55,9.32,0.17,4.74,3.46,4.91,3.58,0.02,6.37,2.98,1.93,3.2,0.87,7.41,5.59,1.04,1.63,8.6,4.91,11.84,7.33,4.33,5.32,8.1,9.22,1.16,11.08,11.82,5.91,6.59,8.1,-0.02,1.74
2020-11-01,0.4,2.37,5.54,2.88,0.46,2.01,4.75,7.67,5.82,8.69,3.32,-0.72,6.99,-1.06,-0.87,5.83,4.74,9.46,0.42,4.8,3.59,5.02,3.64,0.19,6.47,3.14,2.15,3.57,1.02,7.59,5.81,1.22,1.85,8.75,5.14,11.86,7.52,4.52,5.59,8.26,9.48,1.31,11.27,12.05,6.09,6.86,8.3,0.07,1.8
2020-12-01,0.42,2.28,5.64,2.97,0.57,2.12,4.91,7.72,5.95,8.83,3.42,-0.59,7.56,-0.97,-0.76,5.96,4.83,9.5,0.59,4.78,3.65,5.06,4.0,0.33,6.46,3.2,2.31,3.84,1.07,7.67,6.0,1.35,2.01,8.81,5.31,11.8,7.66,4.62,5.78,8.34,9.47,1.36,11.44,12.19,6.11,7.0,8.44,0.03,1.73
2021-01-01,0.44,2.36,5.69,3.07,0.64,2.18,5.07,7.94,6.03,8.91,3.47,-0.47,7.59,-0.93,-0.71,6.08,4.9,9.56,0.72,4.75,3.71,5.06,4.44,0.45,6.42,3.25,2.42,4.06,1.11,7.71,6.13,1.4,2.09,8.82,5.4,11.83,7.75,4.64,5.89,8.37,9.44,1.37,11.55,12.24,6.16,7.08,8.51,-0.03,1.63
2021-02-01,0.15,2.03,5.43,2.77,0.35,1.94,4.91,7.82,5.8,8.65,3.16,-0.74,6.84,-1.18,-0.95,5.82,4.71,9.4,0.49,4.42,3.44,4.78,3.84,0.26,6.07,2.94,2.2,3.97,1.07,7.46,5.93,1.17,1.85,8.63,5.18,11.58,7.51,4.35,5.68,8.09,9.06,1.05,11.41,11.98,5.97,6.82,8.1,-0.39,1.29
2021-03-01,-0.68,1.17,4.7,2.0,-0.42,1.19,4.23,6.84,5.02,8.17,2.33,-1.51,6.03,-1.96,-1.71,4.99,4.06,8.84,-0.21,3.63,2.68,4.08,2.36,-0.48,2.21,2.2,1.5,3.35,0.02,6.7,5.24,0.38,1.06,7.94,4.4,10.88,6.78,3.54,3.21,7.3,8.21,0.14,10.71,11.18,5.33,6.06,7.56,-1.32,0.36
2021-04-01,-1.24,0.84,4.31,1.49,-0.91,0.74,3.78,6.43,4.6,7.46,1.8,-2.01,5.54,-2.37,-2.12,4.53,3.69,8.51,-0.6,3.14,2.24,3.61,1.15,-0.91,4.64,1.79,1.09,3.06,-0.38,6.24,4.8,-0.15,0.58,7.53,3.92,10.42,6.33,3.0,2.72,6.79,7.7,-0.52,10.28,10.57,4.89,5.58,7.07,-2.0,-0.37
2021-05-01,-0.93,0.99,4.71,1.95,-0.48,1.19,4.21,6.8,5.05,7.85,2.14,-1.55,6.12,-1.93,-1.68,4.94,4.16,9.03,-0.11,3.42,2.71,3.94,3.27,-0.44,4.85,2.3,1.6,3.64,0.02,6.55,5.18,0.1,0.95,7.84,4.25,10.71,6.7,3.28,4.64,7.1,8.0,-0.38,10.67,10.75,5.31,5.88,7.31,-1.85,-0.34
2021-06-01,-1.26,0.66,4.52,1.64,-0.75,0.95,3.94,6.54,4.83,7.42,1.81,-1.78,5.63,-2.17,-2.0,4.65,3.98,9.05,-0.22,3.04,2.6,3.66,2.45,-0.61,4.42,2.15,1.5,3.64,-0.2,6.1,4.97,-0.24,0.72,7.55,4.01,10.42,6.49,2.96,4.32,6.84,7.7,-0.82,10.48,10.31,5.05,5.55,6.95,-2.36,-0.88
